,Name,ENV_DISCLOSURE_SCORE
694,OTC_STMN,34.88372093
695,OTC_SU,51.9379845
696,OTC_SUBC,25.58139535
697,OTC_SVT,24.03100775
698,OTC_SW,15.50387597
699,OTC_SWEDA,50
700,OTC_SWMA,41.08527132
701,OTC_SXS,31.00775194
702,OTC_SY1,51.9379845
703,OTC_TATE,25.58139535
704,OTC_TCAP,24.80620155
705,OTC_TECN,40.31007752
706,OTC_TEG,13.17829457
707,OTC_TEL,35.77235772
708,OTC_TEL2B,29.26829268
709,OTC_TELIA,36.58536585
710,OTC_TEMN,34.88372093
711,OTC_TEN,29.45736434
712,OTC_TEP,35.65891473
713,OTC_TGS,31.78294574
714,OTC_TKWY,0.775193798
715,OTC_TOM,38.75968992
716,OTC_TPK,23.25581395
717,OTC_TRELB,52.71317829
718,OTC_TRN,57.36434109
719,OTC_TRYG,25.89285714
720,OTC_TUI,26.35658915
721,OTC_TW/,37.20930233
722,OTC_UBI,15.50387597
723,OTC_UBSG,54.46428571
724,OTC_UCB,45.73643411
725,OTC_UCG,44.64285714
726,OTC_UDG,12.40310078
727,OTC_UHR,11.62790698
728,OTC_UMI,39.53488372
729,OTC_UPM,53.48837209
730,OTC_UU/,32.55813953
731,OTC_VACN,12.40310078
732,OTC_VALMT,52.71317829
733,OTC_VCT,27.13178295
734,OTC_VER,55.03875969
735,OTC_VIE,51.1627907
736,OTC_VIV,45.73643411
737,OTC_VMUK,29.46428571
738,OTC_VOLVB,41.86046512
739,OTC_VOW3,62.79069767
740,OTC_VPK,44.96124031
741,OTC_VWS,45.73643411
742,OTC_WDI,2.325581395
743,OTC_WDP,9.302325581
744,OTC_WEIR,22.48062016
745,OTC_WKL,26.35658915
746,OTC_WLN,44.18604651
747,OTC_WRT1V,62.79069767
748,OTC_WTB,28.68217054
749,OTC_YAR,53.48837209
750,OTC_ZAL,41.08527132
751,OTC_AAOI,2.325581395
752,OTC_AAON,4.651162791
753,NYSE_AAT,1.550387597
754,OTC_AAWW,8.527131783
755,OTC_AAXN,6.201550388
756,OTC_ABCB,1.785714286
757,NYSE_ABG,1.550387597
758,NYSE_AC,1.785714286
759,OTC_ACAD,2.325581395
760,OTC_ACNB,3.571428571
761,OTC_ADES,3.875968992
762,NYSE_ADNT,6.201550388
763,OTC_ADUS,1.550387597
764,OTC_AEIS,3.875968992
765,NYSE_AEO,16.66666667
766,OTC_AERI,1.550387597
767,NYSE_AFI,13.95348837
768,OTC_AFIN,1.550387597
769,NYSE_AHH,11.62790698
770,NYSE_AI,2.678571429
771,NYSE_AIT,2.325581395
772,NYSE_AJRD,0.775193798
773,NYSE_AKR,14.72868217
774,OTC_ALCO,1.550387597
775,NYSE_ALE,15.86206897
776,OTC_ALEC,2.325581395
777,NYSE_ALG,12.40310078
778,OTC_ALGT,1.550387597
779,OTC_ALOT,1.550387597
780,OTC_ALRM,1.550387597
781,OTC_ALTM,1.550387597
782,NYSE_ALX,1.550387597
783,OTC_AMAL,33.92857143
784,NYSE_AMC,1.550387597
785,OTC_AMED,1.550387597
786,OTC_AMEH,1.550387597
787,OTC_AMKR,4.651162791
788,NYSE_AMN,12.5
789,OTC_AMNB,1.785714286
790,NYSE_AMRC,2.325581395
791,OTC_AMRS,1.550387597
792,NYSE_AMRX,1.550387597
793,NYSE_ANF,14.58333333
794,OTC_ANGO,1.550387597
795,NYSE_ANH,1.785714286
796,OTC_AOSL,2.325581395
797,OTC_APLS,1.550387597
798,OTC_APOG,8.527131783
799,NYSE_APTS,3.100775194
800,NYSE_AQUA,12.40310078
801,OTC_ARAY,2.325581395
802,OTC_ARCB,12.40310078
803,NYSE_ARCH,4.651162791
804,NYSE_ARGO,1.785714286
805,NYSE_ARL,1.550387597
806,NYSE_ARLO,2.325581395
807,NYSE_AROC,1.550387597
808,OTC_AROW,1.785714286
809,OTC_ARVN,1.550387597
810,NYSE_ASIX,19.37984496
811,OTC_ASNA,25
812,OTC_ASRT,1.550387597
813,OTC_ASTE,6.201550388
814,NYSE_AT,1.550387597
815,NYSE_ATGE,4.651162791
816,NYSE_ATKR,11.62790698
817,OTC_ATRC,1.550387597
818,OTC_ATSG,1.550387597
819,NYSE_AWR,1.379310345
820,OTC_AXAS,4.132231405
821,NYSE_AXL,28.68217054
822,OTC_AXTI,1.550387597
823,NYSE_AZZ,3.100775194
824,NYSE_B,11.62790698
825,NYSE_BANC,1.785714286
826,OTC_BANF,1.785714286
827,OTC_BANR,1.785714286
828,OTC_BBSI,1.550387597
829,OTC_BCBP,1.785714286
830,NYSE_BCC,17.05426357
831,OTC_BCML,1.785714286
832,NYSE_BCO,1.550387597
833,OTC_BCPC,1.550387597
834,OTC_BCRX,1.550387597
835,NYSE_BDC,6.201550388
836,OTC_BDGE,1.785714286
837,NYSE_BE,2.325581395
838,OTC_BEAT,5.426356589
839,OTC_BECN,1.550387597
